COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/06/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: JUNE DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2034 
 NOMBRE    : MEXICALI (SMN) 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.55 ° 
 LONGITUD  : -115.4666667 ° 
 ALTITUD   : 3 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1935	18.3	21.1	23.1	28.4	31.9	40.4	40.1	38.7	38.1	30.7	22.1	19.7		29.4	12
1936	19.6	21.6	27	31.5	35.6	39.3	40.5	39.8	36.8	30.3	23.8	19.7		30.5	12
1937	13.8	20.9	23.8	28.9	33.7	38.4	40.7	40.8	38.4	32.4	25.3	21		29.8	12
1938	20.4	20.2	22.1	28.6	33.6	37.2	39.6	38.9	38.1	29.7	22	19.7		29.2	12
1939	18.7	17.9	25	30.7	34.3			40.1						27.8	6
1944		20.9					41.6	41.3			24.3	23.1		30.2	5
1945	20.9	22.1	22.6	29.4	33.9									25.8	5
1948			23.1	29.7	33.6	38	40.1	40.2	27.4	28	23.3	19.6		30.3	10
1949	15.7	23.2	39.2	34.1	40.8	41.5	40.5	42.6	41.3	38.2	37.6	21.7		34.7	12
1950	19.2	23.9	27.5	33.1	32	36.7	40.4	42.5	39.4	36.4	29.2	25.3		32.1	12
1951	20.3	20.6	24.4	28.6	34.1	38.7	42.4	40.5	41.2	32.5	24.4	19.3		30.6	12
1952	18.5	21.7	26.5	29.8	39.3	39.3	44.1	44.1	41.4	47.1	31.8	28.4		34.3	12
1953	24.5	23.9	27	30.1	31.8	40.3	43.5	42.6	41.1	33.9	27.3	21.6		32.3	12
1954	21.8	27.5	25.5	34.3	37.2	39.4	42.7	41.1	41	35.6	28.6	21.5		33	12
1955	17.7	21	26.9	29.6	33.8	39.8	40.7	40.9	40.7	36.3	27	22.7		31.4	12
1956	22.4	21.9	28.7	30.6	36.2	41.4	41.9	42.2	42.7	32.1	26.1			33.3	11
1957	18.2	24.9	26	29.7	31.9	41.3	43	40.4	39.9	29.5	22.8	22.1		30.8	12
1958	22.2	23.2	22.6	29.7	37.1	39.4	42.3	41	39.8	34.2	25.8	25.1		31.9	12
1959	23.4	21.7	28.7	32.8	33.2	41.9	42.5	40.6	37.6	33	26.4	20.3		31.8	12
1960	17.9	21.8	29.2	32	35.2	43	43.6	42	40.6	32	25	20		31.9	12
1961	21.5	23.6	25.4	30.9	32.7	40.3	41	40.1	36	31.5	23.2	19.7		30.5	12
1962	20.1	21.8	23.5	34	33.4	39.5	41.7	43	39	33	27.9	21.7		31.6	12
1963	18.6	27.1	25.7	27.7	36	37.5	42.8	39.9	39.4	33	24	20.4		31	12
1964	18.2	21.2	23.9	28.2	33.6	38.9	41.6	40.7	38.2	35.2	23	21.2		30.3	12
1965	21.1	22.9	24.4	29.1	33.1	36.5	41.6	41.3	36.2	35.3	25.2	18.1		30.4	12
1966	17.7	19.9	27	31.8	35.9	39.9	41.3	41.7	38.4	31.4		21.4		31.5	11
1967	21	24.1	26.6	24.8	34.2	37.6	42	42.2	36.5	33.7	27.4	17.3		30.6	12
1968	19.5	25.6	25.9	28.6	34.4	40.1	40.7	39	38.3	31.6	25.1	18.9		30.6	12
1969	20.8	21.1	25.1	29.5	35.5	36.9	41.3	43	39.6	29.8	24.3	21		30.7	12
1970	20.5	24	24.7	27.4	35	39.3	42.3	41.3	37.6	31	26	19.8		30.7	12
1971	21.2	23.6	27.5	28.7	30.6	37.9	42.6	40.3	38.1	28.4	24.4	18		30.1	12
1972	20.2	26.2	30.8	34.4		39.1	43.6	39.7	36.6	27.5	23.6	19.2		31	11
1973	19.7	22.2	22.9	28.6	35.9	40.1	41.3	40.9	38.2	32.9	25.4	22.3		30.9	12
1974	20	23.5	27.3	30	35	42.2	40.5	41.5	39.7	32.8	26	19.4		31.5	12
1975	21.1	22.8	24.3	25.1	33.7	37.9	40.6	41.5	38.1	30.3		21.4		30.6	11
1976	22.4	22.8	24.4	27.8	34.7	39.5	40.7	40.5	34	31.4	26.7	21.4		30.5	12
1977	20.6	26.1	23.3	31.4	30	40.5	42.6	40.6	38.2	34.2	28	23.5		31.6	12
1978	19.6	22.8	26.8	28	34.8	42.2	42.9	41.5	37.2	34.4	24	17.9		31	12
1979	17.5	22.4	25	31	33.4	40.9	42.2	39.4	41.2	34.1	24.7	23.2		31.2	12
1980		23.8	24.2	29.7	31.7	40	42.7	41.9						33.4	7
1981	23.8	25.9	26.5	32.5	34.4	42.5	42.7	42.9	39.6	31.5	27.6	22.7		32.7	12
1982	19.8	23.1	23.8	30	34.2	37.8	41.1	41	38	32.3	23.7	18.9		30.3	12
1983	22.4	22.4	25.4	27.2	36	38	40.4	38	37.8	32.5	25.2	21.4		30.6	12
1984	21.7	24.9	27.7	29.9	38.8	39.3	39.4	39.7	39.6	30.3	24.8	16.7		31.1	12
1985	19.6	22.7	27.4	34.7	36.5	42.6	43.7	42.9	37.1	32.3	25.1	22.3		32.2	12
1986	24.9	25.8	29.8	31.8	37.1	42.6		43	37	32.3	27.3	21.8		32.1	11
1987	21.7	24	26.3	35.5	35.7	42.9	42.9	42.7	41.1	35	25.5	19.2		32.7	12
1988	21.8	25.6	29.5	29.9	35.4	38.6	40.7	39	35.8	34	25	21		31.4	12
1989	18.2	22.2	28.9	34.1	36.7	40.9	44.6	41.5	39.3	33.2	24.8	20.9		32.1	12
1990	22.1	20.7	24.8	29.1	34.5	40.6	42.8	41.3	39.1	33.1	26.9	19.2		31.2	12
1991	20.4	26.6	21.5	28.9	32.9	38.3	41	43.4	39.7	36.3	25.2	19.4		31.1	12
1992	19.6	24.2	25.5	31.4	36.9	39.6	42.2	44.1	40	33.6	25.3	18.7		31.8	12
