COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 13/06/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: JUNE DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2034 
 NOMBRE    : MEXICALI (SMN) 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : MEXICALI 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 32.55 ° 
 LONGITUD  : -115.4666667 ° 
 ALTITUD   : 3 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1987	28.5	29	30.5	41	41.5	45	48	46	47	44.5	30	26		38.1	12
1988	27	30.5	40	39	42.5	42.5	43.8	41.1	41	38.2	35.1	27.8		37.4	12
1989	25	32.8	35	40.8	41.4	47	48.1	44.1	45	40.9	33.6	22.8		38	12
1990	26.8	29.9	33	39.8	40.2	49.1	46.4	44.3	47	37.1	33.4	22.7		37.5	12
1991	25.6	29.9	26.1	36.1	38.9	44.4	45.8	47.9	45.9	47.4	34.1	21.6		37	12
1992	24.4	28.3	30.8	40.6	41.8	44.5	46.8	49.2	42.8	40.6	27.9	24		36.8	12
1993	25	23	30	39	40.8	49	46.5	48	42.5	40	31	24		36.6	12
1994	25.5	30	32.5	38	43	48.5	48	47	45	36.5	32	25		37.6	12
1995	27.5	31	33	39	40	46	52	48.7	47	39	32	26.2		38.5	12
1996	27	31.6	34.2	41	46	46	49.3	48	44	41	29.5	25		38.5	12
1997	28.2	29.2	35.7	40.5	45.4	44.8	47.5	48	43.8	39	33.5	22		38.1	12
1998	23.2	23	34	39	36.5	48	49	47	43.5	36	29.4	26.5		36.3	12
1999	24.8	30	32	39	43	45.8	44	45.9	43.5	41	31.5	25		37.1	12
2000	28	26.7	32.7	40	47	46.5	47.8	47	45	39	25.2	25.2		37.5	12
2001	23.7	27.9	32.8	38.2	45	46.7	48.5	47	42.6	38.5	30.8	24.4		37.2	12
2002	25	29.1	33.5	38.5	44.6	47.2	47.3	45.2	44.3	37	29	24		37.1	12
2003	29.5	30.5	34.2	32.9	44	45.5	49.1	45.5	44	39.5	27.6	24.7		37.2	12
2004	24.8	29.3	39.5	39.5	42.2	45.2	47.5	48	45.5	42.5	30.5	30.5		38.8	12
2005	26.5	26	35.3	37	45.5	47	50.5	48	44.5	41	32	28		38.4	12
2006	26.5	30	32	37	41.5	46	48	45.4	43.2	40.5	34	26.2		37.5	12
2007	25.5	29.2	37	40	40.4	45	47.4	46.2	47.1	38.9	33.6	25.2		38	12
2008	23.7	29.8	33.8	38.8	45.6	47	46.8	47.2	45.9	40.8	36	29.2		38.7	12
2009	28	32.2	35	40	43.5	45	48.3	48.1	44.8	38.6	34	25.8		38.6	12
2010	25	26.5	32.5	37.2	39.6	44	47	47.6	46.8	39	35	28.4		37.4	12
2011	30.2	27	36.2	38	41	46.4	48.6	48.2	45.7	40.3	36	25		38.5	12
2012	27.6	30	34	41.2	44.8	47.2	48	48.6	44.5	43.6	34	28		39.3	12
2013	25.2	28.2	36.4	41.4	43	49.8	47.4	46.2	45.4	37.2	32	26.2		38.2	12
2014	29.4	33	35.2		45	44.8	49	46.6	45	39	33.2	26.6		38.8	11
2015	27.1	30.5	38.2	40.2	42	49.1	45.8	49	45	41.5	35.5	26		39.2	12
2016	29.5	33.5	37	38	44	49.5	48	48	44.5	39	33	29		39.4	12
2017	26.5	30	37.5	38.5	45	51	50	48	45	39	33.5	28.5		39.4	12
2018	27	31	37	40	44	46.5	50	48	47.5	38	33	25		38.9	12
2019	27	30	34	41	39	47	48	49	46.5	38.5	33	27		38.3	12
2020	26.5	30.5	32	42.5	45	45.2	49.5	50.2	49.6	43.6	33.8	24.6		39.4	12
2021	27.6	32.4	38.4	42.6	42	51.4	48.8	50.6	48.8	40	35.2	32.2		40.8	12
2022	29.6	34.1	39	42.1	46.2	49.3	50.1	48.7	48.7	42.5	34.6	28.8		41.1	12
2023	27.5	29.1	32.6	44.3	44.1	46.9	51.1	51.4	46.7	42.6	38.5	30.1		40.4	12
2024	29.3	31.7	35.6	42	44.9	49.6	52.4	51.1	50.2	48.6	33.1	30.1		41.5	12
2025	28.8	36.6	39.6	43.7	46.6	46.6								40.3	6
MÍNIMA	19	23	26.1	31	36.5	39.8	43	41.1	36.5	34	25.2	21.6		32.9	5
MÁXIMA	33	40.5	46.5	45	48	51.4	52.4	51.4	50.2	54	49	35.5		43.2	12
MEDIA	26.4	29.7	33.9	38.2	42	46	47	46.3	44.6	39.6	32.3	26.6		37.7	11.6
DESV.ST	2.4	2.9	3.3	2.7	2.4	2.2	1.9	2.1	2.4	3.1	3.3	2.6		1.6	1.5

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1930	4.6	7.5	8.4	13	13.2	18.3	25.4	22.9	22.4	13.1	16.2	10.9		14.7	12
1931	10.2	8.9	10	13.9	18.1	20.8	27.9	26.9	20.6	14.2	7.8	3.8		15.3	12
1932	3.1	8.4	10.5	12.5	16	19.7	25.1	24.2	22	14.5	8.6	4.1		14.1	12
1933	3.7	4.2	9.4	11.3	15	19.5	25.7	25.6	21.9	17.1	7.5	5		13.8	12
1934	4.8	8.8	12.4	14.3	18.9	18.1	25.5	26.7	21.3	15.2	9.2	6.6		15.2	12
1935	5.6	9.3	8.9	13.8	15.3	20.3	24.8	26.3	23.2	14.1	6.4	5.9		14.5	12
1936	5	8	11.1	13.6	17.8	21.8	26	26.6	20.6	15	8.9	5.4		15	12
1937	0.7	7.4	9.8	12.6	16.3	20.7	27.1	26.8	24.3	15.7	9.6	8.4		15	12
1938	6.3	7.7	10.5	13	16.7	20.4	24.8	25.5	22.8	14.9	5.6	7.2		14.6	12
1939	6.1	5	10.1	14.6	16.9			27						13.3	6
1944		5.1					19.9	22.6			8.2	4.3		12	5
1945	4.4	6	6.9	9.7	13.7									8.1	5
1948			5.9	12.1	14.7	18.5	23	23.5	19.2	13.2	5.7	4.6		14	10
1949	4.2	7.1	15.6	17.5	19.3	23.6	27.1	26.4	27.3	16.7	8.1	2.1		16.2	12
1950	0.9	4.1	4.7	5.3	6.5	9.4	14.3	13.8	10.9	6.7	3.9	2.3		6.9	12
1951	2.3	2.6	3.8	5.4	7.6	10.1	15.4	14.5	10.8	7.1	3.2	1.4		7	12
1952	1.3	2.3	2.2	6	12	12.5	20.8	21.3	17.4	11.4	4.8	4.5		9.7	12
1953	6.3	4.8	8.7	12.2	13.6	17.9	26.8	23.9	20.4	15	10.1	2.8		13.5	12
1954	4.2	8.7	8.6	14.3	17	19.4	26.4	23.2	21.1	15.5	10.6	5.1		14.5	12
1955	4.3	4.9	9	11.4	15.1	19.1	23.5	26.1	20.9	16.3	9	6.7		13.9	12
1956	6.4	4.1	8.5	12.1	16.3	21.3	24.7	22.7	23.3	14	6.5			14.5	11
1957	6.6	9.7	10.3	12.1	14.7	21.4	25.2	24.4	20.6	14.9	7.6	5.7		14.4	12
1958	5	9.2	8.7	12.5	18.2	20.8	23.3	23	18.1	13.5	4.3	2		13.2	12
1959	2	2.1	6.2	10.9	11.8	18.5	24.9	22.1	17.3	12	7.3	4.3		11.6	12
1960	1.4	3.8	8.6	11.2	13.5	20.2	23.9	24.4	21.6	13.8	7	2.9		12.7	12
1961	5.1	5.9	7.5	10.5	12.8	20.2	24.5	24.2	16.7	11.8	5.3	3.4		12.3	12
1962	3.6	6.2	5.2	11.9	11.4	17.3	22.2	23.9	21.6	13.4	8.4	5.5		12.6	12
1963	1.8	8.2	6.7	9.1	14	16.7	23	24.2	22	15.7	8.9	2.5		12.7	12
1964	0.9	2.6	5.5	8.6	12.4	18.1	24.2	25.2	19.2	17.6	5.6	4.2		12	12
1965	4.8	4.9	6.3	10.1	13.8	15.3	22.9	24.5	17.7	14.7	10.6	5.4		12.6	12
1966	2.7	3.6	8.2	11.7	15.2	19.3	23.8	25.3	21.2	13.2		5.1		13.6	11
1967	3.4	5.3	8.4	7.3	13.7	17.2	25.9	26.6	21.1	14.1	10.3	3.4		13.1	12
1968	3.3	8.9	8.6	10.1	14.1	18.9	23.9	22.4	18.9	13.2	8.4	0.9		12.6	12
1969	6.8	4.7	7.1	11.1	15	17.2	24.6	26.9	21.5	11.7	9	4.7		13.4	12
1970	3.6	6.7	6.7	7.9	13.7	18.4	25.1	26.8	18.3	11.5	7.2	3.7		12.5	12
1971	2.7	4.9	6.3	10.6	13.1	17.9	23.6	25.3	19.5	10	5.8	2.8		11.9	12
1972	0.8	5.2	9.7	13.4		19.5	24.5	23.1	19	14.4	6.1	3.1		12.6	11
1973	2.5	6.3	6.2	8.5	15	19.6	23.2	21.9	16.7	12.8	6.9	4.1		12	12
1974	5	3.9	8	10.3	14	19.9	24.2	22.5	22.7	14.7	7.8	2.3		12.9	12
1975	2	3.8	6.6	7.2	13.5	17.3	24	22.6	21.3	12.5		3.9		12.2	11
1976	3.8	6.7	6	8.9	14.3	18.9	23.8	21.1	20.6	14	8.1	4.3		12.5	12
1977	5.4	5.9	5.4	10	12.2	19.4	24.6	25.1	19.8	14.9	8.4	7.2		13.2	12
1978	6.4	7.2	10.2	10.2	13.7	20.1	24	22.5	19.9	17.2	8.6	2.4		13.5	12
1979	3.9	4.7	8.4	10.8	15.2	19.5	22.5	22.4	22.1	14.8	6.9	5.5		13.1	12
1980		8.7	8.2	11.1	12.6	18	25.5	23.3						15.3	7
1981	8.3	6.8	8.4	12.4	15.3	22.1	25.2	25.2	22.1	12.8	9.4	5.6		14.5	12
1982	3.6	6.5	8.4	8.9	14.2	16.6	22.9	25	19.6	12.8	7.9	4.2		12.6	12
1983	4.8	7.7	9.7	9.8	15.4	19.2	22.5	21.4	24.2	15.6	9.4	6.4		13.8	12
1984	6	5.5	7.6	11.5	17.7	20.1	26.2	25.5	23.4	12.7	8	5.6		14.2	12
1985	5	5.2	9.2	14.8	16.5	20.5	25.7	24.8	19.1	14.5	7.2	5.6		14	12
1986	7.9	8.6	11.7	12.1	15.2	21.3		26.8	17.9	13.5	9.4	5.5		13.6	11
1987	3.4	6.4	7.2	12.7	16.1	19.3	22.1	24.3	20	17.3	8.5	4.4		13.5	12
1988	4.4	7.1	8.4	11.3	14.4	21.1	26.2	25.6	21.7	19.4	12.4	6.9		14.9	12
1989	5.4	7.3	14.2	17.4	18.1	21.7	26.3	26.4	21.4	17.3	10.4	7.4		16.1	12
1990	6.5	5.7	9.6	15.2	16.8	21.5	28.1	25.7	23.8	16.2	9.5	3.4		15.2	12
1991	6.8	10.8	8	12.2	16.7	22.4	24.8	26.6	23.3	21.7	13.1	7.5		16.2	12
1992	6.1	9.6	11.6	16.4	19.2	22.5	26.5	25.5	22	18.8	15.6	6.4		16.7	12
1993	8.6	9.4	13.4	15.4	19	23.3	25.6	27.1	21.7	18.5	10.1	7.1		16.6	12
1994	7.1	7.7	12.8	15	17	24.8	27.5	26.9	24.2	16.7	8	6.7		16.2	12
1995	8.1	11.1	12.4	12.7	15.7	20.7	25.4	28.7	25.6	16.9	13	8.4		16.6	12
1996	7.5	11.4	12	15.5	18.8	22	28.2	26.8	23.6	16.8	10.8	7.1		16.7	12
1997	8.4	7.8	11.5	14.2	21.4	20.7	24.2	28.2	25.4	16	12.1	5.6		16.3	12
1998	7.4	8.8	11	12.5	15.6	19.5	27.4	28	23.1	16	10.7	7.3		15.6	12
1999	7.5	8.5	10.4	12.4	16.8	21.7	26.6	25.7	23.6	17.9	11.1	5.8		15.7	12
2000	7.3	9.6	10.5	14.4	19.8	23.3	25.4	28.1	23.8	16.9	7.8	7.8		16.2	12
2001	6.3	8.1	12.2	13.5	21.1	24.1	26.1	27.5	24.9	19	14.2	5.8		16.9	12
2002	6.8	7.5	10.5	15.5	17.8	23.4	27.5	25.8	23.9	16.8	11.8	7.2		16.2	12
2003	9.9	10.1	12.6	13.2	19.6	22.6	28.5	28.1	25.1	21.3	10.8	7.4		17.4	12
2004	7	7.9	15.5	15.2	19.2	21.6	26.6	25.8	22.3	16.5	10	7.5		16.3	12
2005	9.5	10	12	14.3	19.2	21.6	27.2	26.7	22.2	17.1	11.8	7.6		16.6	12
2006	7.6	8.8	10.4	13.6	18.8	24.8	29.4	26.5	23	17	12.8	6.7		16.6	12
2007	5.4	9.4	13	14.5	18.9	22.1	27.2	28	22.9	16.6	12.8	6.1		16.4	12
2008	6.3	8.6	12.2	13.7	16.9	23.7	26.8	26.8	24.3	17.6	13.4	8		16.5	12
2009	8.6	9	11.5	13.7	20.7	21.6	28.3	26.1	24.6	15.8	11.6	7.2		16.6	12
2010	8.7	10	11.2	13.5	16.4	22.1	27.4	26.1	23.3	17.8	11.1	9.7		16.4	12
2011	6.6	6.8	11.9	14.4	15.8	20.5	25.7	27.6	24.5	17.9	10.3	5.1		15.6	12
2012	6.6	8.8	10.8	14.7	18.7	23.2	25.9	28.7	25.7	17.7	12.4	8.4		16.8	12
2013	5.9	7.1	13.1	14.9	19.3	23.6	27.8	26.3	23.2	15	11	6.4		16.1	12
2014	8.4	10.9	13.3		19	23.9	28	26.3	25.7	19.5	11.4	9.2		17.8	11
2015	7.9	11.9	14.5	15.6	17.5	24.6	26	28.7	26.3	21.3	10.3	6.3		17.6	12
2016	6.8	10.3	13.6	16.3	18.1	25.4	28.6	28.5	22.5	19.2	13	8.2		17.5	12
2017	8.4	11	14.4	16.3	19.3	24.4	29.5	28	22.9	18	14.2	7.7		17.8	12
2018	9.5	8.5	12.5	16.7	18.5	23.4	29.5	29.7	25.8	17.9	11	7.6		17.6	12
2019	7.3	7.5	12.6	17	17.6	23.5	27.2	28.2	23.8	15.3	11.6	7.8		16.6	12
2020	7.1	8.3	11.3	14.8	22.4	23.7	27	29.2	24.9	19	11.6	6.3		17.1	12
2021	7	9.1	10.9	17.1	20.2	26.4	30.3	28.8	26.4	17.4	14.3	9		18.1	12
2022	8	8.2	13	16.4	20.4	26.5	29.7	30.3	27.3	20.8	10.2	8.2		18.2	12
2023	8.8	8.1	12.1	16.2	19.6	22.3	30.1	29	25	19.4	12.9	9.3		17.7	12
2024	8.4	11.5	13.2	15.6	20.8	27.1	30.9	30	26.6	21.7	11.3	9		18.8	12
2025	6.8	12	13.2	16.1	21	25.2								15.7	6
MÍNIMA	0.7	2.1	2.2	5.3	6.5	9.4	14.3	13.8	10.8	6.7	3.2	0.9		6.9	5
MÁXIMA	10.2	12	15.6	17.5	22.4	27.1	30.9	30.3	27.3	21.7	16.2	10.9		18.8	12
MEDIA	5.6	7.4	9.8	12.7	16.3	20.7	25.5	25.4	21.9	15.6	9.5	5.7		14.6	11.6
DESV.ST	2.3	2.3	2.8	2.8	3	3.1	2.7	2.8	3	2.9	2.7	2.1		2.3	1.5

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1930	0	3	4	8	7	11	20	18	14	11	10	8		9.5	12
1931	2.2	3.8	4.2	10.8	12.6	15.2	25	22.4	14	10.2	-0.2	-1		9.9	12
1932	-2	-0.6	5	8.4	10	12.8	17.8	16	13	9	5.5	0.2		7.9	12
1933	-0.4	-2.2	4.6	6.6	9.5	14	17.2	19.2	15	11.2	3.4	0.2		8.2	12
1934	-1	4.4	6.4	6.2	13	13	20.8	19.6	12.4	9.8	3	-0.5		8.9	12
1935	-0.5	2.2	4.5	6.4	12.4	15.4	18.6	22.5	17.8	6	3.4	0.6		9.1	12
1936	1	2.2	5	7.2	14.5	12	17.6	20	13	9.4	4	1.5		8.9	12
1937	-7.2	0.8	5.2	9.2	12.8	15	24	20.8	16.8	11.5	6.2	1.5		9.7	12
1938	2.8	3.6	6	6.5	11	15.6	16	17.5	18.6	8.2	-4.8	3.5		8.7	12
1939	2.8	0.2	3	10.2	13.6			23.5						8.9	6
1944		-0.1					13	12.2			1	-0.3		5.2	5
1945	0.8	0.5	2.4	1.2	7.4									2.5	5
1948			2	6.9	8.5	12.5	17.7	19.8	11	7.5	0	-1		8.5	10
1949	-2	2	10.5	11	14	18	20.5	20	21	8	2	-1		10.3	12
1950	-3	-0.1	2	2	2	5.5	9.5	10	5	5	1	1		3.3	12
1951	1	1	1	3.5	3.5	7	10	10	8	5	0	-1.5		4	12
1952	-2	0	1	3	8	8	13	15	5	7	0	0		4.8	12
1953	2.1	-1.5	2.3	5.8	9.1	12	20	15.8	14.2	9.5	2	-2.2		7.4	12
1954	-2	4.5	2.5	9.3	10.9	12.4	22.7	17.3	12.2	8.4	6	-3.8		8.4	12
1955	0.9	-0.5	2.7	7	9	12.6	18	23	12.5	11.5	3.4	3.2		8.6	12
1956	1.8	-1.8	0.2	6	12	14.2	16.5	16	18.8	2.5	1			7.9	11
1957	0.8	0.7	4.2	6.8	11	15.8	20.5	14.6	12.8	10.7	2.4	1		8.4	12
1958	-0.2	5	3	6	12	16	18	20.6	10.5	7.2	-4.5	-2.7		7.6	12
1959	-4	-3	1.3	6.3	7.7	12.7	20.4	14.4	9.3	5.2	-0.2	0		5.8	12
1960	-3.9	-0.6	3.3	6.1	7.3	15	17	18.1	14	7.3	2.5	-4.6		6.8	12
1961	1	1.7	3.7	5.3	8.2	13	15	19.4	11.6	5.2	-0.5	-0.8		6.9	12
1962	-4.5	-4	-0.8	8.4	2.7	10.5	17	13.5	13.6	8.8	2.1	-0.1		5.6	12
1963	-7	3.7	1.1	3.4	8.5	11.4	17.2	18.4	17	10	2.5	-2.2		7	12
1964	-3.2	-3.2	-2.1	4	4.5	11.3	17	20	14	10.7	-0.1	-3.5		5.8	12
1965	-1.5	-2	-1	4	7.1	11	17	19.3	12	8	3.2	-0.5		6.4	12
1966	-3	-2.8	1	7	10.5	12.5	17	17	14	5		-0.5		7.1	11
1967	-2.5	1	3.3	3	7	11.8	18.5	23.5	16	8.5	3.9	-2		7.7	12
1968	-3	5.5	4.5	3	8	12	18	15.6	11.5	7	2	-4.5		6.6	12
1969	-3	-3	1	7	9	13	18	22	11	7	3	-3		6.8	12
1970	-5	1	2.6	4	8	11.7	21	23	11	4	3	-1		6.9	12
1971	-6	-1	-3	4.5	8.9	9.1	17.5	20	9	-2.5	2	-4		4.5	12
1972	-6	-0.4	2.5	9		15.5	18	16	12.5	6.5	1.5	-5		6.4	11
1973	-3	1	2.5	3.5	8	13	15	13	13	6.5	1	0		6.1	12
1974	-3	0	2	6	9	14	14	18	18	6	2	-3		6.9	12
1975	-3	-1	2	2.5	6.5	10	19	15.5	16.5	4		-1		6.5	11
1976	-5	2	0	4	9	12	14.5	13.5	16.5	6	-2	-0.5		5.8	12
1977	-1	0.5	2	4	8	15.5	19	20	14	8	4	4		8.2	12
1978	-0.5	1	6	6	10	15	15	14	11	10.5	3.5	-5		7.2	12
1979	-2	0	3.5	6.5	7.5	13.5	14	18	17.5	5.5	0	1		7.1	12
1980		1.5	1.5	5	6.5	12	18.5	15.8						8.7	7
1981	4	1	4.5	6	9	17	21.5	18.5	16.5	6	4	1		9.1	12
1982	0	1	4	4	9	11	14	22	11	7.5	4	-1		7.2	12
1983	0.5	4	6	5.5	9.5	10.5	14	15	17	12.5	1.5	2		8.2	12
1984	1	2	2.5	4.5	10	14	21	22.5	17.5	6	2	0		8.6	12
1985	1	-2.5	2	5	10.5	13	21.5	19	14	10.5	1	0.5		8	12
1986	2.5	0	5.5	5	9.5	15		24	11.5	9.5	3.5	0		7.8	11
1987	-2.5	2	4	7.5	11	15	17	16	15	11	2.5	-3		8	12
1988	0	2	1.5	3.5	6	11.9	22.4	20.6	15.8	16.5	6.2	0		8.9	12
1989	-0.4	-1.8	7.1	9.5	11.6	16.7	20.8	20.8	15.2	11.8	6.5	3.8		10.1	12
1990	3.9	1.3	4	12	13	12.5	23	20.4	17.8	12.9	4.4	0		10.4	12
1991	2.4	8	4	8.2	13.2	17.1	21.5	22	16.1	12	4.6	1.8		10.9	12
1992	1.8	6.9	7.1	10.7	15.9	18.2	20.2	20.9	17.8	14.9	12.8	0		12.3	12
1993	1	7.5	10	11.5	13.8	15	20	20	10	13	5	4		10.9	12
1994	0	2	8.5	10	10.5	19	22	14.5	18	10.5	2	2		9.9	12
1995	4.8	8.5	8	8	10.5	14.5	19	24.8	19	11.8	9.7	3.5		11.8	12
1996	3.3	4.5	8	11.8	11	15	23.2	19	19	8	0	1.5		10.4	12
1997	5	4.5	5.5	7	17	15.5	20	24.8	21	11	8	-0.5		11.6	12
1998	2.4	6.8	5.5	7	12	14	23	21	17	13	8	2		11	12
1999	5	2.5	7.6	6.5	10	11.8	23	20.5	17	12.5	4.3	3.8		10.4	12
2000	1.5	6.5	5.3	8.5	13.8	17.8	19.6	23	18.5	12.3	4.4	4		11.3	12
2001	3.2	4.6	6.5	8.8	13.5	20	22	20.8	21.5	15.2	6	2.5		12.1	12
2002	1	1.4	4.4	10.6	11	17.4	23	22.5	15.7	12.8	9.5	3.5		11.1	12
2003	7	4	8.2	9	11.6	17.4	25.5	23.8	20	14.5	4.6	1.5		12.3	12
2004	2	4.3	9	12	13.5	15	20	21	15	9.7	2	2.5		10.5	12
2005	3.5	7	8.7	11	13.5	17.5	22.2	22	16	13	5	2		11.8	12
2006	4	4.5	6.5	8.5	13.2	19.5	27	22.5	16	12.7	3.5	3		11.7	12
2007	-2	5	5	9.5	15	18	23	22.5	15	14	7.5	2		11.2	12
2008	3	3	7.5	9	12.5	18	24	22.5	19	11	11	3		12	12
2009	4	5	7.5	9	16	16.5	21.5	20	19.5	8	8	3.5		11.5	12
2010	6	6.5	7.5	9	11	18.5	23	18.5	17	13	2.5	2		11.2	12
2011	1	-1	5	8.5	12	13.8	20	23	20	11	8	2		10.3	12
2012	3.5	6	6	9.5	13.8	17	19.5	25.5	19.5	12.5	7	2.5		11.9	12
2013	-0.5	2	8.5	10	14.8	20.5	24	22.5	15	11	8	2		11.5	12
2014	4.5	5	10.8		15	20	24	20.5	17.4	16	7.5	0.5		12.8	11
2015	-1.2	8.5	7.5	12.5	12	17.5	20	25.5	21	16.5	3.5	0.5		12	12
2016	3	3	8	13	14	20	23	25	18	16.5	5	3		12.6	12
2017	4	5	8	12	13	19	25	23	16.5	15	9	2.5		12.7	12
2018	6	3	5	12	13	18	22.5	25	22	13	6.5	2		12.3	12
2019	0	1	7	13.5	13	20	22	23.5	14	5.5	6	2.5		10.7	12
2020	3	4	8.5	8	15.5	18.5	23.5	23.5	20	9	6	3		11.9	12
2021	3	6	6	14	13.5	20	26.5	22	20	13	0	0		12	12
2022	3.1	4.6	7.3	11.3	14.5	20.1	23.2	26.1	22.6	12.1	7	3.3		12.9	12
2023	3.9	3.4	7	8	14.5	17.6	24.4	22.4	18	12.8	8.8	5.8		12.2	12
2024	2.7	5.7	9.9	9.7	14.1	22.5	28.6	23.6	18.7	12.6	7.1	6.5		13.5	12
2025	2.9	8.4	9.2	10.8	17.4	22								11.8	6
MÍNIMA	-7.2	-4	-3	1.2	2	5.5	9.5	10	5	-2.5	-4.8	-5		2.5	5
MÁXIMA	7	8.5	10.8	14	17.4	22.5	28.6	26.1	22.6	16.5	12.8	8		13.5	12
MEDIA	0.4	2.3	4.6	7.5	10.8	14.9	19.7	19.8	15.4	9.8	3.8	0.7		9.1	11.6
DESV.ST	3.2	3	3	3	3.2	3.4	3.7	3.7	3.7	3.5	3.3	2.6		2.5	1.5

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1930	11	16.1	16.9	22	22	29	33.2	32	30.8	21.4	21.1	16		22.6	12
1931	16.4	14.8	18.4	22.4	26.9	28.9	35.1	32.6	28.6	22.4	15.1	10.7		22.7	12
1932	10.4	14.6	18.1	21	24.4	28.6	32.4	32.2	30.4	21.9	17.1	10.8		21.8	12
1933	10.4	11.4	17.8	19	22.9	28.8	33.4	33	29.7	25.3	16.6	12.8		21.8	12
1934	13	16.2	21.6	23.5	27.3	26.7	33.2	33.2	29.4	24.1	17.4	13.1		23.2	12
1935	11.9	15.2	16	21.1	23.6	30.4	32.5	32.5	30.6	22.4	14.2	12.8		21.9	12
1936	12.3	14.8	19	22.6	26.7	30.5	33.2	33.2	28.7	22.6	16.4	12.6		22.7	12
1937	7.2	14.1	16.8	20.8	25	29.5	33.9	33.8	31.4	24	17.4	14.7		22.4	12
1938	13.3	13.9	16.3	20.8	25.1	28.8	32.2	32.2	30.5	22.3	13.8	13.4		21.9	12
1939	12.4	11.4	17.6	22.6	25.6			33.5						20.5	6
1944		13					30.8	32			16.2	13.7		21.1	5
1945	12.6	14.1	14.8	19.5	23.8									17	5
1948			14.5	20.9	24.1	28.2	31.6	31.9	23.3	20.6	14.5	12.1		22.2	10
1949	9.9	15.1	27.4	25.8	30	32.5	33.8	34.5	34.3	27.5	22.9	11.9		25.5	12
1950	10	14	16.1	19.2	19.2	23	27.4	28.1	25.1	21.6	16.6	13.8		19.5	12
1951	11.3	11.6	14.1	17	20.9	24.4	28.9	27.5	26	19.8	13.8	10.3		18.8	12
1952	9.9	12	14.3	17.9	25.6	25.9	32.5	32.7	29.4	29.2	18.3	16.4		22	12
1953	15.4	14.3	17.9	21.1	22.7	29.1	35.1	33.2	30.8	24.4	18.7	12.2		22.9	12
1954	13	18.1	17	24.3	27.1	29.4	34.5	32.1	31	25.6	19.6	13.3		23.8	12
1955	11	12.9	18	20.5	24.4	29.4	32.1	33.5	30.8	26.3	18	14.7		22.6	12
1956	14.4	13	18.6	21.4	26.2	31.4	33.3	32.5	33	23	16.3			23.9	11
1957	12.4	17.3	18.1	20.9	23.3	31.3	34.1	32.4	30.2	22.2	15.2	13.9		22.6	12
1958	13.6	16.2	15.7	21.1	27.6	30.1	32.8	32	29	23.9	15.1	13.6		22.6	12
1959	12.7	11.9	17.4	21.8	22.5	30.2	33.7	31.4	27.5	22.5	16.8	12.3		21.7	12
1960	9.6	12.8	18.9	21.6	24.4	31.6	33.8	33.2	31.1	22.9	16	11.4		22.3	12
1961	13.3	14.8	16.4	20.7	22.8	30.2	32.8	32.1	26.4	21.6	14.2	11.5		21.4	12
1962	11.9	14	14.3	23	22.4	28.4	32	33.5	30.3	23.2	18.1	13.6		22.1	12
1963	10.2	17.6	16.2	18.4	25	27.1	32.9	32	30.7	24.4	16.4	11.4		21.9	12
1964	9.5	11.9	14.7	18.4	23	28.5	32.9	33	28.7	26.4	14.3	12.7		21.2	12
1965	13	13.9	15.3	19.6	23.5	25.9	32.2	32.9	27	25	17.9	11.8		21.5	12
1966	10.2	11.8	17.6	21.8	25.5	29.6	32.5	33.5	29.8	22.3		13.2		22.5	11
1967	12.2	14.7	17.5	16	24	27.4	34	34.4	28.8	23.9	18.9	10.3		21.8	12
1968	11.4	17.2	17.2	19.4	24.2	29.5	32.3	30.7	28.6	22.4	16.8	9.9		21.6	12
1969	13.8	12.9	16.1	20.3	25.2	27	33	35	30.6	20.8	16.6	12.8		22	12
1970	12.1	15.3	15.7	17.6	24.4	28.8	33.7	34	28	21.2	16.6	11.8		21.6	12
1971	11.9	14.2	16.9	19.6	21.9	27.9	33.1	32.8	28.8	19.2	15.1	10.4		21	12
1972	10.5	15.7	20.2	23.9		29.3	34	31.4	27.8	21	14.9	11.2		21.8	11
1973	11.1	14.2	14.5	18.6	25.4	29.9	32.2	31.4	27.5	22.9	16.1	13.2		21.4	12
