15	16	21	14	12	78
163	155	155	123	143	739
5	2	10	5	4	26
38	47	42	59	43	229
62	46	42	63	48	261
39	33	43	64	43	222
0	0	0	0	0	0
0	0	0	0	0	0
39	27	45	33	36	180
42	36	42	40	38	198
16	30	21	28	36	131
100	94	90	109	108	501
8	13	9	14	14	58
183	157	221	202	243	1006
3	3	1	3	3	13
48	54	76	87	60	325
23	33	34	30	23	143
87	113	116	118	132	566
35	34	47	51	50	217
22	17	16	3	14	72
1	0	0	0	2	3
14	9	5	7	8	43
1	0	0	0	0	1
17	18	16	15	10	76
79	109	128	140	119	575
16	10	18	14	8	66
4	2	2	2	4	14
89	82	92	97	105	465
414	418	549	533	558	2472
84	104	139	123	121	571
427	517	573	645	634	2796
